"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..Alkoholne pijace,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),2.8,2.6,2.4,2.2,2.1,2.1,2.1,2.0,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.6,1.6,1.6,-
..Alkoholne pijace,Stalne cene predhodnega leta (mio EUR),...,161.7,179.8,186.5,213.3,226.1,235.0,248.3,263.2,283.5,299.4,293.2,304.2,314.8,301.0,325.8,339.0,328.9,343.9,358.3,375.4,372.2,381.3,394.0,...
..Alkoholne pijace,"Stalne cene, referencno leto 2010 (mio EUR)",340.1,313.1,299.6,281.5,305.5,324.8,329.1,327.7,329.4,332.4,357.5,357.1,369.2,368.4,337.2,337.9,339.0,316.9,314.1,313.1,322.2,316.8,322.8,335.0,...
..Alkoholne pijace,Letna sprememba obsega (%),...,-7.9,-4.3,-6.1,8.5,6.3,1.3,-0.4,0.5,0.9,7.5,-0.1,3.4,-0.2,-8.5,0.2,0.3,-6.5,-0.9,-0.3,2.9,-1.7,1.9,3.8,...
..Tobak,Tekoce cene (mio EUR),182.1,206.4,215.2,225.1,234.2,288.6,310.0,329.3,366.4,376.7,434.2,472.5,516.1,587.6,620.1,649.0,704.4,708.5,656.3,681.5,692.5,682.2,707.3,685.8,...
..Tobak,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),2.9,2.8,2.6,2.5,2.3,2.6,2.6,2.5,2.5,2.5,2.7,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.1,3.1,3.1,3.0,3.0,2.7,-
..Tobak,Stalne cene predhodnega leta (mio EUR),...,186.5,194.6,204.1,211.0,260.0,285.4,275.4,312.1,340.0,402.4,444.1,475.7,572.7,587.7,591.6,657.7,660.9,601.6,650.9,675.0,682.2,682.7,678.4,...
..Tobak,"Stalne cene, referencno leto 2010 (mio EUR)",757.2,775.4,731.0,693.2,649.5,721.2,713.3,633.6,600.5,557.2,595.2,608.7,612.9,680.1,680.2,649.0,657.7,617.1,524.0,519.6,514.7,507.0,507.4,486.6,...
..Tobak,Letna sprememba obsega (%),...,2.4,-5.7,-5.2,-6.3,11.0,-1.1,-11.2,-5.2,-7.2,6.8,2.3,0.7,11.0,0.0,-4.6,1.3,-6.2,-15.1,-0.8,-1.0,-1.5,0.1,-4.1,...
..Mamila,Tekoce cene (mio EUR),36.2,43.5,49.5,51.8,58.0,68.3,77.4,85.8,97.9,81.1,79.0,93.3,99.9,87.9,128.1,130.2,143.3,134.5,138.1,132.9,132.7,136.6,134.4,126.1,...
..Mamila,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.6,0.5,0.4,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,-
..Mamila,Stalne cene predhodnega leta (mio EUR),...,39.3,46.5,50.2,55.8,64.5,77.4,85.8,79.7,126.7,79.0,81.5,95.4,121.2,92.8,130.2,127.4,151.3,144.2,132.9,132.7,124.7,125.6,132.2,...
..Mamila,"Stalne cene, referencno leto 2010 (mio EUR)",45.6,49.5,52.9,53.7,57.9,64.3,72.9,80.8,75.1,97.2,94.6,97.7,99.9,121.2,128.1,130.2,127.4,134.5,144.2,138.8,138.6,130.3,119.8,117.8,...
..Mamila,Letna sprememba obsega (%),...,8.7,6.8,1.5,7.7,11.2,13.3,10.9,-7.1,29.5,-2.6,3.2,2.3,21.3,5.7,1.7,-2.2,5.6,7.2,-3.8,-0.2,-6.0,-8.0,-1.6,...
Oblacila in obutev,Tekoce cene (mio EUR),392.0,429.8,480.1,535.3,610.4,653.8,749.2,793.4,866.7,866.4,886.1,876.6,1036.3,1100.6,1134.9,1179.9,1206.9,1181.4,1049.9,1135.2,1127.1,1301.1,1293.1,1345.7,...
Oblacila in obutev,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),6.1,5.8,5.8,6.0,6.1,6.0,6.2,6.0,6.0,5.6,5.5,5.2,5.6,5.4,5.5,5.6,5.5,5.4,4.9,5.2,5.1,5.7,5.4,5.4,-
Oblacila in obutev,Stalne cene predhodnega leta (mio EUR),...,404.7,450.0,505.6,575.2,611.8,735.5,769.1,815.6,852.5,895.3,880.9,1014.7,1053.4,1143.7,1212.8,1226.2,1182.9,1050.6,1151.1,1139.0,1306.6,1288.2,1330.9,...
Oblacila in obutev,"Stalne cene, referencno leto 2010 (mio EUR)",614.0,633.9,663.7,698.9,751.0,752.8,846.9,869.3,893.6,878.9,908.3,902.9,1045.2,1062.5,1104.1,1179.9,1226.2,1201.9,1068.8,1171.7,1175.6,1362.9,1349.4,1388.8,...
Oblacila in obutev,Letna sprememba obsega (%),...,3.2,4.7,5.3,7.5,0.2,12.5,2.7,2.8,-1.6,3.3,-0.6,15.8,1.7,3.9,6.9,3.9,-2.0,-11.1,9.6,0.3,15.9,-1.0,2.9,...
